time,task_arrivals,rolling_instances,rolling_capacity,tt_instances,tt_capacity,ml_instances,ml_capacity,hybrid_instances,hybrid_capacity,ort_instances,ort_capacity
1970-01-07 08:10:00,8591,25,125,0,0,,,,,25,125
1970-01-07 08:15:00,8439,50,250,25,125,,,,,50,250
1970-01-07 08:20:00,7534,75,375,50,250,,,,,75,375
1970-01-07 08:25:00,5232,100,500,75,375,,,,,100,500
1970-01-07 08:30:00,8780,125,625,100,500,,,,,125,625
1970-01-07 08:35:00,5622,150,750,125,625,150.0,750.0,150.0,750.0,150,750
1970-01-07 08:40:00,5065,175,875,150,750,175.0,875.0,175.0,875.0,175,875
1970-01-07 08:45:00,5050,200,1000,175,875,200.0,1000.0,200.0,1000.0,200,1000
1970-01-07 08:50:00,4848,225,1125,200,1000,225.0,1125.0,225.0,1125.0,225,1125
1970-01-07 08:55:00,4801,250,1250,225,1125,250.0,1250.0,250.0,1250.0,250,1250
1970-01-07 09:00:00,15985,275,1375,250,1250,275.0,1375.0,275.0,1375.0,275,1375
1970-01-07 09:05:00,9051,300,1500,275,1375,300.0,1500.0,300.0,1500.0,300,1500
1970-01-07 09:10:00,8065,325,1625,300,1500,325.0,1625.0,325.0,1625.0,325,1625
1970-01-07 09:15:00,8058,350,1750,325,1625,350.0,1750.0,350.0,1750.0,350,1750
1970-01-07 09:20:00,6400,375,1875,350,1750,375.0,1875.0,375.0,1875.0,375,1875
1970-01-07 09:25:00,5266,400,2000,375,1875,400.0,2000.0,400.0,2000.0,400,2000
1970-01-07 09:30:00,9611,425,2125,400,2000,425.0,2125.0,425.0,2125.0,425,2125
1970-01-07 09:35:00,5575,450,2250,425,2125,450.0,2250.0,450.0,2250.0,450,2250
1970-01-07 09:40:00,7203,475,2375,450,2250,475.0,2375.0,475.0,2375.0,475,2375
1970-01-07 09:45:00,6620,500,2500,475,2375,500.0,2500.0,500.0,2500.0,500,2500
1970-01-07 09:50:00,6301,525,2625,500,2500,525.0,2625.0,525.0,2625.0,525,2625
1970-01-07 09:55:00,4925,550,2750,525,2625,550.0,2750.0,550.0,2750.0,550,2750
1970-01-07 10:00:00,10876,575,2875,550,2750,575.0,2875.0,575.0,2875.0,575,2875
1970-01-07 10:05:00,5796,600,3000,575,2875,600.0,3000.0,600.0,3000.0,600,3000
1970-01-07 10:10:00,7235,625,3125,600,3000,625.0,3125.0,625.0,3125.0,625,3125
1970-01-07 10:15:00,7272,650,3250,625,3125,650.0,3250.0,650.0,3250.0,650,3250
1970-01-07 10:20:00,7053,675,3375,650,3250,675.0,3375.0,675.0,3375.0,675,3375
1970-01-07 10:25:00,5219,700,3500,675,3375,700.0,3500.0,700.0,3500.0,700,3500
1970-01-07 10:30:00,6646,725,3625,700,3500,725.0,3625.0,725.0,3625.0,725,3625
1970-01-07 10:35:00,5503,750,3750,725,3625,750.0,3750.0,750.0,3750.0,750,3750
1970-01-07 10:40:00,4451,775,3875,750,3750,775.0,3875.0,775.0,3875.0,775,3875
1970-01-07 10:45:00,4995,800,4000,775,3875,800.0,4000.0,800.0,4000.0,800,4000
1970-01-07 10:50:00,4617,825,4125,800,4000,825.0,4125.0,825.0,4125.0,825,4125
1970-01-07 10:55:00,4035,850,4250,825,4125,850.0,4250.0,850.0,4250.0,850,4250
1970-01-07 11:00:00,9175,875,4375,850,4250,875.0,4375.0,875.0,4375.0,875,4375
1970-01-07 11:05:00,6424,900,4500,875,4375,900.0,4500.0,900.0,4500.0,900,4500
1970-01-07 11:10:00,6132,925,4625,900,4500,925.0,4625.0,925.0,4625.0,925,4625
1970-01-07 11:15:00,6921,950,4750,925,4625,950.0,4750.0,950.0,4750.0,950,4750
1970-01-07 11:20:00,6005,975,4875,950,4750,975.0,4875.0,975.0,4875.0,975,4875
1970-01-07 11:25:00,5144,1000,5000,975,4875,1000.0,5000.0,1000.0,5000.0,1000,5000
1970-01-07 11:30:00,6764,1025,5125,1000,5000,1025.0,5125.0,1025.0,5125.0,1025,5125
1970-01-07 11:35:00,5293,1050,5250,1025,5125,1050.0,5250.0,1050.0,5250.0,1050,5250
1970-01-07 11:40:00,5620,1075,5375,1050,5250,1075.0,5375.0,1075.0,5375.0,1075,5375
1970-01-07 11:45:00,6059,1100,5500,1075,5375,1100.0,5500.0,1100.0,5500.0,1100,5500
1970-01-07 11:50:00,6822,1125,5625,1100,5500,1125.0,5625.0,1125.0,5625.0,1125,5625
1970-01-07 11:55:00,4562,1150,5750,1125,5625,1150.0,5750.0,1150.0,5750.0,1150,5750
1970-01-07 12:00:00,9017,1175,5875,1150,5750,1175.0,5875.0,1175.0,5875.0,1175,5875
1970-01-07 12:05:00,6713,1200,6000,1175,5875,1200.0,6000.0,1200.0,6000.0,1200,6000
1970-01-07 12:10:00,4888,1225,6125,1200,6000,1225.0,6125.0,1225.0,6125.0,1189,5945
1970-01-07 12:15:00,6068,1250,6250,1225,6125,1250.0,6250.0,1250.0,6250.0,1214,6070
1970-01-07 12:20:00,5577,1275,6375,1250,6250,1275.0,6375.0,1275.0,6375.0,1189,5945
1970-01-07 12:25:00,4549,1300,6500,1275,6375,1300.0,6500.0,1250.0,6250.0,1200,6000
1970-01-07 12:30:00,5366,1325,6625,1300,6500,1325.0,6625.0,1275.0,6375.0,1225,6125
1970-01-07 12:35:00,4406,1300,6500,1325,6625,1350.0,6750.0,1257.0,6285.0,1250,6250
1970-01-07 12:40:00,4504,1275,6375,1300,6500,1375.0,6875.0,1282.0,6410.0,1275,6375
1970-01-07 12:45:00,4388,1250,6250,1287,6435,1400.0,7000.0,1257.0,6285.0,1300,6500
1970-01-07 12:50:00,3990,1225,6125,1262,6310,1425.0,7125.0,1232.0,6160.0,1325,6625
1970-01-07 12:55:00,3322,1200,6000,1237,6185,1445.0,7225.0,1207.0,6035.0,1350,6750
1970-01-07 13:00:00,6432,1175,5875,1212,6060,1420.0,7100.0,1232.0,6160.0,1375,6875
1970-01-07 13:05:00,4964,1200,6000,1237,6185,1445.0,7225.0,1238.0,6190.0,1400,7000
1970-01-07 13:10:00,4336,1225,6125,1262,6310,1470.0,7350.0,1213.0,6065.0,1425,7125
1970-01-07 13:15:00,5119,1250,6250,1239,6195,1495.0,7475.0,1226.0,6130.0,1450,7250
1970-01-07 13:20:00,5114,1275,6375,1264,6320,1520.0,7600.0,1251.0,6255.0,1475,7375
1970-01-07 13:25:00,3966,1287,6435,1289,6445,1545.0,7725.0,1226.0,6130.0,1500,7500
1970-01-07 13:30:00,5269,1262,6310,1264,6320,1553.0,7765.0,1251.0,6255.0,1525,7625
1970-01-07 13:35:00,5013,1237,6185,1289,6445,1578.0,7890.0,1276.0,6380.0,1550,7750
1970-01-07 13:40:00,5147,1212,6060,1314,6570,1588.0,7940.0,1301.0,6505.0,1575,7875
1970-01-07 13:45:00,6292,1187,5935,1339,6695,1613.0,8065.0,1326.0,6630.0,1600,8000
1970-01-07 13:50:00,6088,1212,6060,1364,6820,1638.0,8190.0,1351.0,6755.0,1625,8125
1970-01-07 13:55:00,4846,1237,6185,1389,6945,1663.0,8315.0,1351.0,6755.0,1650,8250
1970-01-07 14:00:00,8374,1259,6295,1385,6925,1688.0,8440.0,1376.0,6880.0,1675,8375
1970-01-07 14:05:00,5972,1284,6420,1410,7050,1713.0,8565.0,1401.0,7005.0,1650,8250
1970-01-07 14:10:00,6284,1309,6545,1435,7175,1738.0,8690.0,1426.0,7130.0,1625,8125
